schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,155,1,1,0,155,6967,155,0,6812,6967,7097,7097,7097,1,1,2080,0,7957,8085,8085,8117,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,21,0,0,0,21,7251,21,0,7230,7251,7765,7765,7765,0,0,8224,0,7251,7763,7765,7893,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,22,0,0,0,22,7893,22,0,7871,7893,8151,8151,8151,0,0,4128,0,7893,8149,8151,8215,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,156,1,1,0,156,8117,156,0,7961,8117,8631,8631,8631,1,1,8224,0,8117,8629,8631,8759,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,24,0,0,0,24,8215,24,0,8191,8215,8473,8473,8473,0,0,4128,0,8629,8885,8885,8949,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,221,2,2,0,221,8215,221,0,7994,8215,8473,8473,8473,2,2,4128,0,8215,8471,8473,8537,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,189,3,3,0,189,8273,189,0,8084,8273,8403,8403,8403,3,3,2080,0,8471,8599,8599,8631,1,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,247,2,2,0,247,8537,247,0,8290,8537,8603,8603,8603,2,2,1056,0,8537,8601,8603,8619,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,249,2,2,0,249,8619,249,0,8370,8619,8685,8685,8685,2,2,1056,0,8619,8683,8685,8701,1,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,211,3,3,0,211,8631,211,0,8420,8631,8761,8761,8761,3,3,2080,0,8631,8759,8761,8793,3,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,256,2,2,0,256,8701,256,0,8445,8701,9727,9727,9727,2,2,16416,0,8885,9909,9909,10165,0,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,159,1,1,0,159,8759,159,0,8600,8759,9017,9017,9017,1,1,4128,0,8759,9015,9017,9081,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,232,3,3,0,232,8793,232,0,8561,8793,9307,9307,9307,3,3,8224,0,9909,10421,10421,10549,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,25,0,0,0,25,8949,25,0,8924,8949,9207,9207,9207,0,0,4128,0,8949,9205,9207,9271,1,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,195,1,1,0,195,9081,195,0,8886,9081,9211,9211,9211,1,1,2080,0,9081,9209,9211,9243,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,222,1,1,0,222,9243,222,0,9021,9243,10269,10269,10269,1,1,16416,0,9243,10267,10269,10525,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,26,0,0,0,26,9271,26,0,9245,9271,9785,9785,9785,0,0,8224,0,10267,10779,10779,10907,2,0
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,271,2,2,0,271,10165,271,0,9894,10165,10295,10295,10295,2,2,2080,0,10165,10293,10295,10327,3,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,274,2,2,0,274,10327,274,0,10053,10327,10457,10457,10457,2,2,2080,0,10779,10907,10907,10939,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,243,1,1,0,243,10525,243,0,10282,10525,10559,10559,10559,1,1,544,0,10525,10557,10559,10567,3,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,240,3,3,0,240,10549,240,0,10309,10549,10615,10615,10615,3,3,1056,0,10549,10613,10615,10631,0,3
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,282,1,1,0,282,10567,282,0,10285,10567,10825,10825,10825,1,1,4128,0,10907,11163,11163,11227,2,1
varp.k26.scheduler-event.v2,analytical-model,S1,skew,23,270,3,3,0,270,10631,270,0,10361,10631,10889,10889,10889,3,3,4128,0,11163,11419,11419,11483,2,3
