schema_version,evidence_type,scheduler,workload,seed,job_id,home_cluster,dispatch_cluster,stolen,arrival_cycle,dispatch_cycle,release_cycle,dependency_wait_cycles,queue_wait_cycles,link_start_cycle,home_link_end_cycle,remote_copy_start_cycle,link_end_cycle,home_link_bundle,execution_link_bundle,base_link_bytes,remote_copy_bytes,memory_start_cycle,memory_end_cycle,compute_start_cycle,compute_end_cycle,preferred_channel,preferred_link_bundle
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,39,1,1,0,0,2525224,1622055,1622055,903169,2525224,2580522,2580522,2580522,1,1,884768,0,2562088,2617384,2617384,2631208,0,1
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,40,2,2,0,0,2631209,2631208,2631208,1,2631209,3073579,3073579,3073579,3,3,7077920,0,2631209,3073577,3073579,3184171,3,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,41,2,2,0,0,3184171,2631208,2631208,552963,3184171,3239469,3239469,3239469,3,3,884768,0,3184171,3239467,3239469,3253293,3,3
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,42,0,0,0,0,3253294,3253293,3253293,1,3253294,3327024,3327024,3327024,2,2,1179680,0,3253294,3327022,3327024,3345456,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,43,1,1,0,0,3253294,3253293,3253293,1,3253294,3271728,3271728,3271728,0,0,294944,0,3253294,3271726,3271728,3276336,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,44,2,2,0,0,3253294,3253293,3253293,1,3327024,3345458,3345458,3345458,2,2,294944,0,3327022,3345454,3345458,3350066,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,45,3,3,0,0,3350067,3350066,3350066,1,3350067,3415605,3415605,3415605,0,0,1048608,0,3350067,3415603,3415605,3431989,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,46,3,3,0,0,3431989,3350066,3350066,81923,3431989,3440183,3440183,3440183,0,0,131104,0,3431989,3440181,3440183,3442231,0,0
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,47,0,0,0,0,3442232,3442231,3442231,1,3442232,3515962,3515962,3515962,2,2,1179680,0,3442232,3515960,3515962,3534394,2,2
varp.k26.scheduler-event.v2,analytical-model,S1,gemma3_1b_dependency_aware_tiles,0,54,1,1,0,0,3442232,3442231,3442231,1,3442232,3515962,3515962,3515962,0,0,1179680,0,3442232,3515960,3515962,3534394,1,0
