node_index,node_name,domain,op_type,layer,operator_category,projection_class,K,N,dtype,weight_initializer,source_weight_bytes,activation_bytes,output_bytes,reuse,external_data_file,external_data_offset,estimated_memory_address,candidate_cluster,candidate_channel,candidate_bundle,evidence_type
146,/model/rotary_emb_local/Constant,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
147,/model/rotary_emb_local/Unsqueeze,,Unsqueeze,,other,,,,,,,,,,,,,,,,graph-derived
148,/model/rotary_emb_local/Constant_1,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
149,/model/rotary_emb_local/Constant_2,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
150,/model/rotary_emb_local/Concat,,Concat,,other,,,,,,,,,,,,,,,,graph-derived
151,/model/rotary_emb_local/Constant_3,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
152,/model/rotary_emb_local/Reshape,,Reshape,,other,,,,,,,,,,,,,,,,graph-derived
153,/model/rotary_emb_local/Shape,,Shape,,other,,,,,,,,,,,,,,,,graph-derived
154,/model/rotary_emb_local/ConstantOfShape,,ConstantOfShape,,other,,,,,,,,,,,,,,,,graph-derived
155,/model/rotary_emb_local/Constant_4,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
156,/model/rotary_emb_local/Mul,,Mul,,other,,,,,,,,,,,,,,,,graph-derived
157,/model/rotary_emb_local/Equal,,Equal,,other,,,,,,,,,,,,,,,,graph-derived
158,/model/rotary_emb_local/Where,,Where,,other,,,,,,,,,,,,,,,,graph-derived
159,/model/rotary_emb_local/Expand,,Expand,,other,,,,,,,,,,,,,,,,graph-derived
160,/model/rotary_emb_local/Cast,,Cast,,other,,,,,,,,,,,,,,,,graph-derived
161,/model/rotary_emb_local/Cast_1,,Cast,,other,,,,,,,,,,,,,,,,graph-derived
162,/model/rotary_emb_local/MatMul,,MatMul,,other,,,,,,,,,,,,,,,,graph-derived
163,/model/rotary_emb_local/Transpose,,Transpose,,other,,,,,,,,,,,,,,,,graph-derived
164,/model/rotary_emb_local/Concat_1,,Concat,,other,,,,,,,,,,,,,,,,graph-derived
165,/model/rotary_emb_local/Cos,,Cos,,other,,,,,,,,,,,,,,,,graph-derived
166,/model/rotary_emb_local/Constant_5,,Constant,,other,,,,,,,,,,,,,,,,graph-derived
167,/model/rotary_emb_local/Mul_1,,Mul,,other,,,,,,,,,,,,,,,,graph-derived
168,/model/rotary_emb_local/Sin,,Sin,,other,,,,,,,,,,,,,,,,graph-derived
