schema_version,evidence_type,scheduler,workload,seed,process_repetition,clusters,channels,bundles,link_width_bits,service_overlap_mode,external_link_enabled,jobs,ledger_sha256,completed_jobs,total_completion_cycles,throughput_jobs_per_kcycle,mean_tile_latency_cycles,p50_tile_latency_cycles,p95_tile_latency_cycles,p99_tile_latency_cycles,cluster_utilization_mean,cluster_compute_utilization_mean,cluster_reservation_occupancy_mean,cluster_idle_cycles,cluster_compute_idle_cycles,queue_wait_mean_cycles,dependency_wait_mean_cycles,dependency_edge_count,max_queue_depth,queue_imbalance,ingress_backlog_final,steal_attempts,successful_steals,steal_success_rate,remote_weight_bytes,activation_retransmission_bytes,partial_sum_traffic_bytes,charged_link_bytes,base_link_bytes,incremental_remote_link_bytes,base_link_service_cycles,incremental_remote_link_service_cycles,base_memory_service_cycles,incremental_remote_memory_service_cycles,remote_copy_cycles,remote_transfer_semantics,link_bundle_utilization_mean,ddr_channel_utilization_mean,request_serializer_wait,request_credit_wait,request_cdc_wait,outstanding_table_full_wait,response_serializer_wait,response_cdc_wait,consumer_fifo_full_wait,bundle_contention_wait,memory_command_wait,central_queue_control_cycles,oracle_resource_lower_bound_cycles,oracle_schedule_kind,starvation_ratio,completion_reordered,timed_out,correctness,input_job_id_count,completed_job_id_count,duplicate_completion_count,subset
varp.k26.scheduler-model.v2,analytical-model,S1,skew,23,2,4,4,4,128,sequential,True,1000,f1f60362cbf6828488e9910a26e101f0015cae12955cdb1d50fc0fd53bb8a82b,1000,523865,1.9088887404197645,217635.135,205973.5,484548.85,518326.89,0.03322611741574642,0.03322611741574642,0.32852213833716704,1407055,2025836,216946.73,0,0,798,736,0,0,0,0.0,0,0,0,4487936,4487936,0,280496,0,278496,0,0,prefetch-home-then-copy-to-thief,0.13385891403319558,0.1329044696629857,279496,0,1000,0,3624,1000,0,0,340285,0,70124,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,29,0,4,4,4,128,sequential,True,1000,311833b9b102170889ddf510cbfe311a91c74b35413bdede2fa850ab43cd2018,1000,511426,1.9553170937730973,209360.247,192827.5,477885.2499999999,502643.89,0.0340146961632768,0.0340146961632768,0.33438122035250456,1361659,1976120,208676.202,0,0,777,715,0,0,0,0.0,0,0,0,4485376,4485376,0,280336,0,278336,0,0,prefetch-home-then-copy-to-thief,0.13703644319999375,0.1360587846531072,279336,0,1000,0,3674,1000,0,0,336125,0,70084,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,29,1,4,4,4,128,sequential,True,1000,311833b9b102170889ddf510cbfe311a91c74b35413bdede2fa850ab43cd2018,1000,511426,1.9553170937730973,209360.247,192827.5,477885.2499999999,502643.89,0.0340146961632768,0.0340146961632768,0.33438122035250456,1361659,1976120,208676.202,0,0,777,715,0,0,0,0.0,0,0,0,4485376,4485376,0,280336,0,278336,0,0,prefetch-home-then-copy-to-thief,0.13703644319999375,0.1360587846531072,279336,0,1000,0,3674,1000,0,0,336125,0,70084,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,29,2,4,4,4,128,sequential,True,1000,311833b9b102170889ddf510cbfe311a91c74b35413bdede2fa850ab43cd2018,1000,511426,1.9553170937730973,209360.247,192827.5,477885.2499999999,502643.89,0.0340146961632768,0.0340146961632768,0.33438122035250456,1361659,1976120,208676.202,0,0,777,715,0,0,0,0.0,0,0,0,4485376,4485376,0,280336,0,278336,0,0,prefetch-home-then-copy-to-thief,0.13703644319999375,0.1360587846531072,279336,0,1000,0,3674,1000,0,0,336125,0,70084,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,31,0,4,4,4,128,sequential,True,1000,7e8c8f9c09dc12f1f417dedf8edb758f93bf412b32656f75b309bd3c7f7702e9,1000,516835,1.934853483219983,212920.744,196095.5,488683.85,509640.76999999996,0.034289473429624545,0.034289473429624545,0.3340635792854586,1376717,1996452,212230.121,0,0,776,713,0,0,0,0.0,0,0,0,4568832,4568832,0,285552,0,283552,0,0,prefetch-home-then-copy-to-thief,0.13812532046010814,0.13715789371849818,284552,0,1000,0,3698,1000,0,0,336183,0,71388,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,31,1,4,4,4,128,sequential,True,1000,7e8c8f9c09dc12f1f417dedf8edb758f93bf412b32656f75b309bd3c7f7702e9,1000,516835,1.934853483219983,212920.744,196095.5,488683.85,509640.76999999996,0.034289473429624545,0.034289473429624545,0.3340635792854586,1376717,1996452,212230.121,0,0,776,713,0,0,0,0.0,0,0,0,4568832,4568832,0,285552,0,283552,0,0,prefetch-home-then-copy-to-thief,0.13812532046010814,0.13715789371849818,284552,0,1000,0,3698,1000,0,0,336183,0,71388,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,31,2,4,4,4,128,sequential,True,1000,7e8c8f9c09dc12f1f417dedf8edb758f93bf412b32656f75b309bd3c7f7702e9,1000,516835,1.934853483219983,212920.744,196095.5,488683.85,509640.76999999996,0.034289473429624545,0.034289473429624545,0.3340635792854586,1376717,1996452,212230.121,0,0,776,713,0,0,0,0.0,0,0,0,4568832,4568832,0,285552,0,283552,0,0,prefetch-home-then-copy-to-thief,0.13812532046010814,0.13715789371849818,284552,0,1000,0,3698,1000,0,0,336183,0,71388,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,43,0,4,4,4,128,sequential,True,1000,513b4a91b8a085ddd0cbcc11317541eb4fdb7d5b0bd82465ce6ca2d5ee260358,1000,524819,1.9054188205838585,219723.842,199738.5,491257.44999999995,517621.45,0.03331815349672935,0.03331815349672935,0.3326470649881197,1400958,2029332,219025.524,0,0,787,725,0,0,0,0.0,0,0,0,4508416,4508416,0,281776,0,279776,0,0,prefetch-home-then-copy-to-thief,0.13422532339720933,0.1332726139869174,280776,0,1000,0,3636,1000,0,0,348598,0,70444,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,43,1,4,4,4,128,sequential,True,1000,513b4a91b8a085ddd0cbcc11317541eb4fdb7d5b0bd82465ce6ca2d5ee260358,1000,524819,1.9054188205838585,219723.842,199738.5,491257.44999999995,517621.45,0.03331815349672935,0.03331815349672935,0.3326470649881197,1400958,2029332,219025.524,0,0,787,725,0,0,0,0.0,0,0,0,4508416,4508416,0,281776,0,279776,0,0,prefetch-home-then-copy-to-thief,0.13422532339720933,0.1332726139869174,280776,0,1000,0,3636,1000,0,0,348598,0,70444,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
varp.k26.scheduler-model.v2,analytical-model,S1,skew,43,2,4,4,4,128,sequential,True,1000,513b4a91b8a085ddd0cbcc11317541eb4fdb7d5b0bd82465ce6ca2d5ee260358,1000,524819,1.9054188205838585,219723.842,199738.5,491257.44999999995,517621.45,0.03331815349672935,0.03331815349672935,0.3326470649881197,1400958,2029332,219025.524,0,0,787,725,0,0,0,0.0,0,0,0,4508416,4508416,0,281776,0,279776,0,0,prefetch-home-then-copy-to-thief,0.13422532339720933,0.1332726139869174,280776,0,1000,0,3636,1000,0,0,348598,0,70444,not-applicable,0.0,True,False,True,1000,1000,0,service_overlap_sensitivity
